,movieId,rating_mean,title,genres,databaseId
1226185,198,3.42,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller,117898
1236104,202,3.06,Total Eclipse (1995),Drama|Romance,174038
1236581,203,3.16,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,120673
1242603,207,3.37,"Walk in the Clouds, A (1995)",Drama|Romance,131832
1248620,208,2.86,Waterworld (1995),Action|Adventure|Sci-Fi,193821
1279929,215,3.9,Before Sunrise (1995),Drama|Romance,161326
1287153,216,3.25,Billy Madison (1995),Comedy,181301
1297815,217,2.74,"Babysitter, The (1995)",Drama|Thriller,85303
1298886,218,3.28,Boys on the Side (1995),Comedy|Drama,193514
1303317,219,3.61,"Cure, The (1995)",Drama,122863
1304011,223,3.85,Clerks (1994),Comedy,77788
1330779,227,3.07,Drop Zone (1994),Action|Thriller,179631
1335630,235,3.66,Ed Wood (1994),Comedy|Drama,78076
1353368,236,3.31,French Kiss (1995),Action|Comedy|Romance,112203
1367016,237,3.22,Forget Paris (1995),Comedy|Romance,117188
1373782,239,3.1,"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance,174626
1377796,243,2.51,Gordy (1995),Children|Comedy|Fantasy,195867
1378278,246,4.0,Hoop Dreams (1994),Documentary,163975
1389762,249,3.67,Immortal Beloved (1994),Drama|Romance,126740
1394993,251,3.04,"Hunted, The (1995)",Action,147404
1395399,257,3.41,Just Cause (1995),Mystery|Thriller,133065
1399409,258,2.63,"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance,151769
1401238,261,3.6,Little Women (1994),Drama,156063
1413295,262,3.76,"Little Princess, A (1995)",Children|Drama,114157
1418320,266,3.5,Legends of the Fall (1994),Drama|Romance|War|Western,160457
1436478,267,2.91,Major Payne (1995),Comedy,154352
1441092,272,3.74,"Madness of King George, The (1994)",Comedy|Drama,171676
1449496,274,2.84,Man of the House (1995),Comedy,180007
1450784,275,2.73,Mixed Nuts (1994),Comedy,87891
1452414,280,3.72,Murder in the First (1995),Drama|Thriller,78479
1457753,282,3.39,Nell (1994),Drama,172042
1470176,283,3.09,New Jersey Drive (1995),Crime|Drama,82467
1470425,288,3.25,Natural Born Killers (1994),Action|Crime|Thriller,117907
1496833,289,3.36,Only You (1994),Comedy|Romance,98930
1500226,292,3.42,Outbreak (1995),Action|Drama|Sci-Fi|Thriller,204109
1529209,296,4.17,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,91332
1621607,303,3.04,"Quick and the Dead, The (1995)",Action|Thriller|Western,173935
1629500,313,3.07,"Swan Princess, The (1994)",Animation|Children,186519
1630971,314,3.85,"Secret of Roan Inish, The (1994)",Children|Drama|Fantasy|Mystery,113721
1635285,315,2.9,"Specialist, The (1994)",Action|Drama|Thriller,165778
1647790,316,3.37,Stargate (1994),Action|Adventure|Sci-Fi,193034
1684782,317,3.13,"Santa Clause, The (1994)",Comedy|Drama|Fantasy,180808
1702725,318,4.42,The Shawshank Redemption (1994),Crime|Drama,181299
1800715,319,3.75,Shallow Grave (1994),Comedy|Drama|Thriller,116352
1808906,327,2.81,Tank Girl (1995),Action|Comedy|Sci-Fi,165067
1817371,330,2.81,Tales from the Hood (1995),Action|Crime|Horror,132385
1818978,333,3.36,Tommy Boy (1995),Comedy,170060
1832009,336,2.86,"Walking Dead, The (1995)",Drama|War,139321
1832321,337,3.75,What's Eating Gilbert Grape (1993),Drama,82476
1851953,339,3.51,While You Were Sleeping (1995),Comedy|Romance,135090
1877908,342,3.48,Muriel's Wedding (1994),Comedy,168050
1891393,343,2.67,"Baby-Sitters Club, The (1995)",Children,88451
1892404,344,2.99,Ace Ventura: Pet Detective (1994),Comedy,190418
1938006,349,3.67,Clear and Present Danger (1994),Action|Crime|Drama|Thriller,194987
1972551,350,3.47,"Client, The (1994)",Drama|Mystery|Thriller,82284
1989508,352,3.26,Crooklyn (1994),Comedy|Drama,89973
1990906,353,3.51,"Crow, The (1994)",Action|Crime|Fantasy|Thriller,186732
2008997,356,4.06,Forrest Gump (1994),Comedy|Drama|Romance|War,162882
2106027,357,3.64,Four Weddings and a Funeral (1994),Comedy|Romance,186271
2136260,361,3.32,It Could Happen to You (1994),Comedy|Drama|Romance,83274
2141823,362,3.36,"Jungle Book, The (1994)",Adventure|Children|Romance,86506
2150910,364,3.81,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX,108278
2198214,367,3.18,"Mask, The (1994)",Action|Comedy|Crime|Fantasy,166052
2236911,368,3.41,Maverick (1994),Adventure|Comedy|Western,80014
2255863,371,3.26,"Paper, The (1994)",Comedy|Drama,190662
2260284,372,3.26,Reality Bites (1994),Comedy|Drama|Romance,188094
2269480,374,2.44,Richie Rich (1994),Children|Comedy,130379
2275566,376,3.29,"River Wild, The (1994)",Action|Thriller,169353
2288771,377,3.49,Speed (1994),Action|Romance|Thriller,154857
2335243,379,2.72,Timecop (1994),Action|Sci-Fi|Thriller,101889
2341789,380,3.5,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller,144550
2392648,381,3.4,When a Man Loves a Woman (1994),Drama|Romance,120886
2398301,383,3.2,Wyatt Earp (1994),Western,178136
2403798,387,2.66,"Low Down Dirty Shame, A (1994)",Action|Comedy,77946
2404539,410,3.01,Addams Family Values (1993),Children|Comedy|Fantasy,148213
2425164,412,3.55,"Age of Innocence, The (1993)",Drama,162016
2430014,413,2.82,Airheads (1994),Comedy,177227
2437047,416,2.71,Bad Girls (1994),Western,98981
2438895,420,2.76,Beverly Hills Cop III (1994),Action|Comedy|Crime|Thriller,193672
2455271,421,3.29,Black Beauty (1994),Adventure|Children|Drama,77358
2457189,423,3.01,Blown Away (1994),Action|Thriller,153707
2459645,424,2.71,Blue Chips (1994),Drama,87689
2460454,426,3.11,Body Snatchers (1993),Horror|Sci-Fi|Thriller,111585
2463900,427,2.54,Boxing Helena (1993),Drama|Mystery|Romance|Thriller,179112
2467425,428,3.82,"Bronx Tale, A (1993)",Drama,188047
2473083,431,3.7,Carlito's Way (1993),Crime|Drama,91677
2483824,434,3.07,Cliffhanger (1993),Action|Adventure|Thriller,85879
2511450,435,2.57,Coneheads (1993),Comedy|Sci-Fi,139150
2526930,440,3.6,Dave (1993),Comedy|Romance,97667
2547140,441,3.68,Dazed and Confused (1993),Comedy,124708
2556981,442,3.05,Demolition Man (1993),Action|Adventure|Sci-Fi,173194
2577690,454,3.5,"Firm, The (1993)",Drama|Thriller,181540
2633006,455,2.61,Free Willy (1993),Adventure|Children|Drama,91611
2653148,457,3.98,"Fugitive, The (1993)",Thriller,167064
2711176,464,2.92,Hard Target (1993),Action|Adventure|Crime|Thriller,127291
2714563,465,3.26,Heaven & Earth (1993),Action|Drama|War,84434
2715332,466,2.92,Hot Shots! Part Deux (1993),Action|Comedy|War,147910
2730722,473,2.32,In the Army Now (1994),Comedy|War,120792
2732197,474,3.72,In the Line of Fire (1993),Action|Thriller,157850
2752502,476,3.02,"Inkwell, The (1994)",Comedy|Drama,155576
2752744,480,3.67,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller,101158
2905632,481,3.34,Kalifornia (1993),Drama|Thriller,159810
2911669,482,3.43,Killing Zoe (1994),Crime|Drama|Thriller,93258
2914512,483,3.77,King of the Hill (1993),Drama,136234
2915135,484,2.78,Lassie (1994),Adventure|Children,152142
2915930,485,2.78,Last Action Hero (1993),Action|Adventure|Comedy|Fantasy,201861
2931444,488,3.39,M. Butterfly (1993),Drama|Romance,124856
2932033,490,3.35,Malice (1993),Thriller,122621
2935365,491,3.4,"Man Without a Face, The (1993)",Drama,95186
2941267,494,3.37,Executive Decision (1996),Action|Adventure|Thriller,135640
2955770,497,3.87,Much Ado About Nothing (1993),Comedy|Romance,78559
2971119,499,2.77,Mr. Wonderful (1993),Comedy|Romance,91106
2971541,500,3.39,Mrs. Doubtfire (1993),Comedy|Drama,161983
3010023,507,3.52,"Perfect World, A (1993)",Crime|Drama|Thriller,82795
3013546,508,3.8,Philadelphia (1993),Drama,145338
3036060,509,3.68,"Piano, The (1993)",Drama|Romance,86104
3054735,514,3.45,"Ref, The (1994)",Comedy,121502
3059632,515,3.89,"Remains of the Day, The (1993)",Drama|Romance,146309
3071229,517,3.14,Rising Sun (1993),Action|Drama|Mystery,118402
3074939,520,3.07,Robin Hood: Men in Tights (1993),Comedy,90591
3092080,521,3.32,Romeo Is Bleeding (1993),Crime|Thriller,152883
3094333,524,3.51,Rudy (1993),Drama,140750
3103603,527,4.26,Schindler's List (1993),Drama|War,188808
3175115,528,2.78,"Scout, The (1994)",Comedy|Drama,182070
3176066,531,3.5,"Secret Garden, The (1993)",Children|Drama,148572
3185284,533,2.93,"Shadow, The (1994)",Action|Adventure|Fantasy|Mystery,163899
3189405,538,3.69,Six Degrees of Separation (1993),Drama,151670
3194826,539,3.52,Sleepless in Seattle (1993),Comedy|Drama|Romance,178711
3226598,540,2.72,Sliver (1993),Thriller,155564
3231935,541,4.12,Blade Runner (1982),Action|Sci-Fi|Thriller,147934
3271372,542,2.86,Son in Law (1993),Comedy|Drama|Romance,188474
3275237,543,3.21,So I Married an Axe Murderer (1993),Comedy|Romance|Thriller,93178
3289628,546,2.09,Super Mario Bros. (1993),Action|Adventure|Children|Comedy|Fantasy|Sci-Fi,96021
3296071,551,3.74,"Nightmare Before Christmas, The (1993)",Animation|Children|Fantasy|Musical,171615
3320204,553,3.7,Tombstone (1993),Action|Drama|Western,180251
3336648,555,3.8,True Romance (1993),Crime|Thriller,88267
3354030,575,3.04,"Little Rascals, The (1994)",Children|Comedy,161831
3357163,577,2.81,Andre (1994),Adventure|Children|Drama,138175
3357842,580,3.05,Princess Caraboo (1994),Drama,154118
3358444,585,2.61,"Brady Bunch Movie, The (1995)",Comedy,171810
3369602,586,3.13,Home Alone (1990),Children|Comedy,90967
3435074,587,3.44,Ghost (1990),Comedy|Drama|Fantasy|Romance|Thriller,89307
3467279,588,3.69,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical,107514
3570927,589,3.94,Terminator 2: Judgment Day (1991),Action|Sci-Fi,139878
3635180,590,3.74,Dances with Wolves (1990),Adventure|Drama|Western,79136
3687051,592,3.39,Batman (1989),Action|Crime|Thriller,181370
3741491,593,4.15,The Silence of the Lambs (1991),Crime|Horror|Thriller,203424
3829384,594,3.57,Snow White and the Seven Dwarfs (1937),Animation|Children|Drama|Fantasy|Musical,78766
3850097,595,3.68,Beauty and the Beast (1991),Animation|Children|Fantasy|Musical|Romance|IMAX,151488
3892495,596,3.45,Pinocchio (1940),Animation|Children|Fantasy|Musical,76757
3908327,597,3.43,Pretty Woman (1990),Comedy|Romance,84798
3946824,599,3.97,"Wild Bunch, The (1969)",Adventure|Western,82569
3950418,605,3.3,One Fine Day (1996),Drama|Romance,87954
3954305,606,2.58,Candyman: Farewell to the Flesh (1995),Fantasy|Horror,134346
3955902,608,4.11,Fargo (1996),Comedy|Crime|Drama|Thriller,81385
4010397,609,3.03,Homeward Bound II: Lost in San Francisco (1996),Adventure|Children,79811
4013269,616,3.38,"Aristocats, The (1970)",Animation|Children,170213
4023329,619,2.61,Ed (1996),Comedy,86827
4024113,628,3.75,Primal Fear (1996),Crime|Drama|Mystery|Thriller,83766
4037041,631,2.76,All Dogs Go to Heaven 2 (1996),Adventure|Animation|Children|Fantasy|Musical|Romance,115723
4039679,637,2.85,Sgt. Bilko (1996),Comedy,127011
4046633,640,2.98,Diabolique (1996),Drama|Thriller,111030
4050024,647,3.53,Courage Under Fire (1996),Action|Crime|Drama|War,125914
4058740,648,3.4,Mission: Impossible (1996),Action|Adventure|Mystery|Thriller,80325
4148866,653,3.22,Dragonheart (1996),Action|Adventure|Fantasy,111598
4165697,656,2.88,Eddie (1996),Comedy,145212
4166982,661,3.28,James and the Giant Peach (1996),Adventure|Animation|Children|Fantasy|Musical,112260
4179729,663,3.36,Kids in the Hall: Brain Candy (1996),Comedy,112644
4183240,671,3.66,Mystery Science Theater 3000: The Movie (1996),Comedy|Sci-Fi,129492
4190597,673,2.76,Space Jam (1996),Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi,193109
4203510,674,2.98,Barbarella (1968),Adventure|Comedy|Sci-Fi,198803
4207080,688,2.59,Operation Dumbo Drop (1995),Action|Adventure|Comedy|War,202461
4210216,694,3.01,"Substitute, The (1996)",Action|Crime|Drama,189988
4213142,704,2.84,"Quest, The (1996)",Action|Adventure,176163
4215086,708,3.4,"Truth About Cats & Dogs, The (1996)",Comedy|Romance,102456
4231938,709,3.32,Oliver & Company (1988),Adventure|Animation|Children|Comedy|Musical,95450
4235095,714,3.89,Dead Man (1995),Drama|Mystery|Western,134503
4239400,719,2.95,Multiplicity (1996),Comedy,116199
4248509,724,3.08,"Craft, The (1996)",Drama|Fantasy|Horror|Thriller,142603
4259141,725,2.8,"Great White Hype, The (1996)",Comedy,166083
4260781,733,3.69,"Rock, The (1996)",Action|Adventure|Thriller,139492
4298715,736,3.22,Twister (1996),Action|Adventure|Romance|Thriller,194965
4337375,742,2.75,Thinner (1996),Horror|Thriller,157490
4339451,743,2.74,Spy Hard (1996),Comedy,108453
4347023,747,2.35,"Stupids, The (1996)",Comedy,159488
4348199,748,3.17,"Arrival, The (1996)",Action|Sci-Fi|Thriller,144386
4353873,750,4.21,Dr. Strangelove (1964),Comedy,87490
4383355,754,2.95,Gold Diggers: The Secret of Bear Mountain (1995),Adventure|Children,166906
4383752,762,2.41,Striptease (1996),Comedy|Crime,189403
4395360,765,3.05,Jack (1996),Comedy|Drama,176051
4401367,778,4.01,Trainspotting (1996),Comedy|Crime|Drama,161546
4432910,783,3.25,"Hunchback of Notre Dame, The (1996)",Animation|Children|Drama|Musical|Romance,143955
4446314,784,2.7,"Cable Guy, The (1996)",Comedy|Thriller,176100
4463700,785,3.28,Kingpin (1996),Comedy,112737
4476287,786,3.17,Eraser (1996),Action|Drama|Thriller,78888
4495365,788,2.85,"Nutty Professor, The (1996)",Comedy|Fantasy|Romance|Sci-Fi,182236
4517871,798,2.84,Daylight (1996),Action|Adventure|Drama|Thriller,151577
4521289,801,3.03,Harriet the Spy (1996),Children|Comedy,105529
4523143,802,3.47,Phenomenon (1996),Drama|Romance,168644
4537883,805,3.69,"Time to Kill, A (1996)",Drama|Thriller,78562
4551813,808,3.22,Alaska (1996),Adventure|Children,106018
4552684,809,2.85,Fled (1996),Action|Adventure,150177
4554135,810,1.86,Kazaam (1996),Children|Comedy|Fantasy,95501
4556293,828,3.15,"Adventures of Pinocchio, The (1996)",Adventure|Children,78929
4558029,830,3.09,"First Wives Club, The (1996)",Comedy,202156
4566106,832,3.45,Ransom (1996),Crime|Thriller,103180
4582813,837,3.44,Matilda (1996),Children|Comedy|Fantasy,98683
4589706,838,3.75,Emma (1996),Comedy|Drama|Romance,122408
4598932,849,2.77,Escape from L.A. (1996),Action|Adventure|Sci-Fi|Thriller,165085
4608809,852,3.18,Tin Cup (1996),Comedy|Drama|Romance,116230
4620828,858,4.33,Godfather The (1972),Crime|Drama,161723
4681730,866,3.71,Bound (1996),Crime|Drama|Romance|Thriller,95467
4688503,870,2.24,Gone Fishin' (1997),Comedy,159718
4689003,881,2.83,First Kid (1996),Children|Comedy,89005
4690205,886,3.06,Bulletproof (1996),Action|Comedy|Crime,96329
4692086,898,4.11,"Philadelphia Story, The (1940)",Comedy|Drama|Romance,143194
4699911,899,4.03,Singin' in the Rain (1952),Comedy|Musical|Romance,146224
4712701,901,3.62,Funny Face (1957),Comedy|Musical,106416
4714464,902,3.82,Breakfast at Tiffany's (1961),Drama|Romance,198004
4727249,903,4.12,Vertigo (1958),Drama|Mystery|Romance|Thriller,84837
4745174,904,4.23,Rear Window (1954),Mystery|Thriller,198967
4767436,905,4.13,It Happened One Night (1934),Comedy|Romance,193833
4772185,908,4.2,North by Northwest (1959),Action|Adventure|Mystery|Romance|Thriller,175969
4791795,909,4.02,"Apartment, The (1960)",Comedy|Drama|Romance,181072
4798172,910,4.03,Some Like It Hot (1959),Comedy|Crime,199989
4811923,912,4.21,Casablanca (1942),Drama|Romance,160038
4843016,913,4.13,"Maltese Falcon, The (1941)",Film-Noir|Mystery,82321
4857599,914,3.87,My Fair Lady (1964),Comedy|Drama|Musical|Romance,185009
4869687,915,3.87,Sabrina (1954),Comedy|Romance,170094
4875913,916,4.06,Roman Holiday (1953),Comedy|Drama|Romance,187253
4883371,918,3.73,Meet Me in St. Louis (1944),Musical,169470
4885438,919,3.94,The Wizard of Oz (1939),Adventure|Children|Fantasy|Musical,134101
4912873,920,3.82,Gone with the Wind (1939),Drama|Romance|War,129832
4931205,921,3.78,My Favorite Year (1982),Comedy,91608
4933709,923,4.09,Citizen Kane (1941),Drama|Mystery,77455
4955218,924,3.97,2001: A Space Odyssey (1968),Adventure|Drama|Sci-Fi,125118
5018048,926,4.17,All About Eve (1950),Drama,105461
5023679,928,4.07,Rebecca (1940),Drama|Mystery|Romance|Thriller,158083
5029211,933,4.0,To Catch a Thief (1955),Crime|Mystery|Romance|Thriller,101241
5034599,934,3.46,Father of the Bride (1950),Comedy,171343
5039418,937,3.68,Love in the Afternoon (1957),Comedy|Romance,95286
5039973,940,3.85,"Adventures of Robin Hood, The (1938)",Action|Adventure|Romance,131551
5044389,942,4.07,Laura (1944),Crime|Film-Noir|Mystery,182661
5047474,944,3.82,Lost Horizon (1937),Drama,150601
5048621,948,3.74,Giant (1956),Drama|Romance|Western,79187
5050470,950,4.15,"Thin Man, The (1934)",Comedy|Crime,152874
5054171,951,4.09,His Girl Friday (1940),Comedy|Romance,90633
5058738,953,4.02,It's a Wonderful Life (1946),Children|Drama|Fantasy|Romance,166466
5076508,954,3.99,Mr. Smith Goes to Washington (1939),Drama,97892
5083334,955,4.02,Bringing Up Baby (1938),Comedy|Romance,193302
5088336,967,2.78,"Outlaw, The (1943)",Western,120057
5088514,968,3.62,Night of the Living Dead (1968),Horror|Sci-Fi|Thriller,79385
5107742,969,4.06,"African Queen, The (1951)",Adventure|Comedy|Romance|War,151371
5119678,971,3.93,Cat on a Hot Tin Roof (1958),Drama,148780
5122927,986,3.5,Fly Away Home (1996),Adventure|Children,120896
5126298,996,3.01,Last Man Standing (1996),Action|Crime|Drama|Thriller,101846
5129862,998,3.22,Set It Off (1996),Action|Crime,154360
5130727,1004,2.69,"Glimmer Man, The (1996)",Action|Thriller,202234
5132397,1005,2.52,D3: The Mighty Ducks (1996),Children|Comedy,137641
5134844,1009,3.14,Escape to Witch Mountain (1975),Adventure|Children|Fantasy,163184
5137633,1012,3.55,Old Yeller (1957),Children|Drama,203331
5141460,1013,3.41,"Parent Trap, The (1961)",Children|Comedy|Romance,79289
5146805,1014,3.38,Pollyanna (1960),Children|Comedy|Drama,130556
5148549,1015,3.28,Homeward Bound: The Incredible Journey (1993),Adventure|Children|Drama,184464
5152915,1016,3.13,"Shaggy Dog, The (1959)",Children|Comedy,76620
5154457,1017,3.51,Swiss Family Robinson (1960),Adventure|Children,101921
5158166,1020,3.26,Cool Runnings (1993),Comedy,169402
5166328,1021,2.84,Angels in the Outfield (1994),Children|Comedy,75815
5170512,1022,3.54,Cinderella (1950),Animation|Children|Fantasy|Musical|Romance,189484
5181899,1025,3.56,"Sword in the Stone, The (1963)",Animation|Children|Fantasy|Musical,194412
5188613,1028,3.72,Mary Poppins (1964),Children|Comedy|Fantasy|Musical,187102
5205623,1029,3.45,Dumbo (1941),Animation|Children|Drama|Musical,106831
5216549,1030,3.09,Pete's Dragon (1977),Adventure|Animation|Children|Musical,157283
5220105,1031,3.34,Bedknobs and Broomsticks (1971),Adventure|Children|Musical,192637
5225114,1032,3.61,Alice in Wonderland (1951),Adventure|Animation|Children|Fantasy|Musical,100667
5234949,1033,3.46,"Fox and the Hound, The (1981)",Animation|Children|Drama,149245
5240179,1035,3.8,"Sound of Music, The (1965)",Musical|Romance,93497
5257331,1036,3.93,Die Hard (1988),Action|Crime|Thriller,161313
5297613,1037,2.74,"Lawnmower Man, The (1992)",Action|Horror|Sci-Fi|Thriller,138284
5305449,1042,3.43,That Thing You Do! (1996),Comedy|Drama,90272
5315155,1047,3.42,"Long Kiss Goodnight, The (1996)",Action|Drama|Thriller,163094
5325027,1049,3.41,"Ghost and the Darkness, The (1996)",Action|Adventure,78343
5330660,1051,3.56,Trees Lounge (1996),Drama,188293
5332085,1060,3.82,Swingers (1996),Comedy|Drama,128587
5342918,1061,3.63,Sleepers (1996),Thriller,108019
5353390,1064,3.11,Aladdin and the King of Thieves (1996),Animation|Children|Comedy|Fantasy|Musical|Romance,155605
5357111,1069,3.94,"Murder, My Sweet (1944)",Crime|Film-Noir|Thriller,200334
5357952,1073,3.7,Willy Wonka & the Chocolate Factory (1971),Children|Comedy|Fantasy|Musical,78168
5391361,1076,3.83,"Innocents, The (1961)",Drama|Horror|Thriller,200261
5391941,1077,3.83,Sleeper (1973),Comedy|Sci-Fi,125332
5399830,1078,3.72,Bananas (1971),Comedy|War,83716
5403772,1079,3.83,"Fish Called Wanda, A (1988)",Comedy|Crime,98909
5425858,1080,3.98,Monty Python's Life of Brian (1979),Comedy,197190
5451075,1083,3.46,"Great Race, The (1965)",Comedy|Musical,164027
5452713,1084,3.85,Bonnie and Clyde (1967),Crime|Drama,150331
5463806,1086,4.02,Dial M for Murder (1954),Crime|Mystery|Thriller,148501
5470605,1088,3.25,Dirty Dancing (1987),Drama|Musical|Romance,187205
5484702,1089,4.09,Reservoir Dogs (1992),Crime|Mystery|Thriller,140122
5522029,1090,3.9,Platoon (1986),Drama|War,89306
5540853,1091,2.81,Weekend at Bernie's (1989),Comedy,95533
5546990,1092,3.35,Basic Instinct (1992),Crime|Mystery|Thriller,178885
5560192,1095,3.86,Glengarry Glen Ross (1992),Drama,126347
5567169,1096,3.91,Sophie's Choice (1982),Drama,152969
5571307,1097,3.74,E.T. the Extra-Terrestrial (1982),Children|Drama|Sci-Fi,92826
5611632,1099,3.81,"Christmas Carol, A (1938)",Children|Drama|Fantasy,142684
5613938,1100,2.86,Days of Thunder (1990),Action|Drama|Romance,138241
5620288,1101,3.41,Top Gun (1986),Action|Romance,162573
5643734,1103,3.79,Rebel Without a Cause (1955),Drama,93576
5650953,1124,3.69,On Golden Pond (1981),Drama,153918
5656038,1125,3.61,"Return of the Pink Panther, The (1975)",Comedy|Crime,78531
